appid,title,total_reviews,suspicious_reviews,threat_rate,links,keywords,contacts,avg_helpful,chinese_reviews,english_reviews
2807960,Battlefield 6,50,5,10.00%,0,5,0,0.0,50,0
730,Counter-Strike 2,50,0,0.00%,0,0,0,0.0,45,5
1808500,ARC Raiders,50,0,0.00%,0,0,0,0.0,45,5
3224770,Umamusume: Pretty Derby,50,5,10.00%,0,5,0,1.0,30,20
578080,PUBG: BATTLEGROUNDS,50,5,10.00%,0,5,0,0.0,40,10
3405690,EA SPORTS FC 26,50,0,0.00%,0,0,0,0.2,45,0
1984270,Digimon Story Time Stranger,50,0,0.00%,0,0,0,0.4,50,0
570,Dota 2,30,0,0.00%,0,0,0,0.0,27,3
3450310,Europa Universalis V,50,0,0.00%,0,0,0,0.0,50,0
3949040,RV There Yet?,50,0,0.00%,0,0,0,0.2,45,5
230410,Warframe,50,0,0.00%,0,0,0,0.0,50,0
3241660,R.E.P.O.,50,0,0.00%,0,0,0,0.1,45,5
