appid,title,released,current_price,original_price,tags,release_date,review_score,developer
730,Counter-Strike 2,"21 Aug, 2012",,,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable","15 Sep, 2017",,Valve
3450310,Europa Universalis V,"4 Nov, 2025",59.99,59.99,"4X, Resource Management, Grand Strategy, Trading, Strategy, Historical, Multiplayer, Simulation, Alternate History, Wargame, Immersive Sim, Diplomacy, 3D, Economy, Realistic, Cinematic, Singleplayer, Building, War, Choices Matter","4 Nov, 2025",,Paradox Tinto
3167020,Escape From Duckov,"16 Oct, 2025",17.99,17.99,"Adventure, Action, Extraction Shooter, Top-Down Shooter, Looter Shooter, Shooter, Third-Person Shooter, Exploration, Survival, Cute, Base Building, Top-Down, Cartoon, Gun Customization, Funny, Action-Adventure, RPG, Roguelite, Action Roguelike, Indie","16 Oct, 2025",,Team Soda
2807960,Battlefield™ 6,"10 Oct, 2025",69.99,69.99,"FPS, Multiplayer, Action, Singleplayer, Military, War, Shooter, Modern, Epic, Realistic, Combat, Tactical, Battle Royale, Destruction, PvP, Violent, Atmospheric, Co-op, Sandbox, Story Rich","10 Oct, 2025",,Battlefield Studios
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017",,,"Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth","21 Dec, 2017",,PUBG Corporation
3405690,EA SPORTS FC™ 26,"25 Sep, 2025",69.99,69.99,"Football (Soccer), Sports, Simulation, Multiplayer, Singleplayer, Competitive, Online Co-Op, Realistic, Controller, Local Co-Op, Local Multiplayer, PvP, Family Friendly, eSports, Modern, Open World, Co-op, LGBTQ+, Horror","25 Sep, 2025",,EA Canada
1172470,Apex Legends™,"4 Nov, 2020",,,"Free to Play, Multiplayer, Battle Royale, FPS, Shooter, First-Person, PvP, Action, Hero Shooter, Team-Based, Tactical, Sci-fi, Loot, Survival, Co-op, Character Customization, Funny, Lore-Rich, Cyberpunk, Cinematic","4 Nov, 2020",,Respawn
1304930,The Outlast Trials,"5 Mar, 2024",11.99,39.99,"Horror, Multiplayer, Co-op, Survival Horror, Psychological Horror, First-Person, PvE, Stealth, Character Customization, Action, Survival, Action-Adventure, Dark Humor, Dark, Realistic, Atmospheric, Alternate History, Science, Adventure, Management","5 Mar, 2024",,Red Barrels
1158310,Crusader Kings III,"1 Sep, 2020",14.99,49.99,"Strategy, Medieval, Grand Strategy, Simulation, RPG, Historical, Management, Character Customization, Life Sim, Sandbox, Choices Matter, RTS, War, Singleplayer, Economy, Political, Moddable, 4X, Multiplayer, Real-Time with Pause","1 Sep, 2020",,Paradox Development Studio
3949040,RV There Yet?,"21 Oct, 2025",7.99,7.99,"Multiplayer, Co-op, Funny, Adventure, Online Co-Op, Physics, First-Person, Exploration, Driving, 3D, Atmospheric, Offroad, Indie, Casual, Stylized, Character Customization, Action, Psychological Horror, Singleplayer, Horror","21 Oct, 2025",,Nuggets Entertainment
