appid,title,released,current_price,original_price,tags
2807960,Battlefield 6,"10 Oct, 2025",69.99,69.99,"FPS, Multiplayer, Action, Singleplayer, Military, War, Shooter, Modern, Epic, Combat, Realistic, Tactical, Battle Royale, Destruction, PvP, Violent, Atmospheric, Co-op, Sandbox, Story Rich"
730,Counter-Strike 2,"21 Aug, 2012",0.0,0.0,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable"
1808500,ARC Raiders,"30 Oct, 2025",39.99,39.99,"Extraction Shooter, PvP, Third-Person Shooter, PvE, Multiplayer, Post-apocalyptic, Online Co-Op, Shooter, Survival, Sci-fi, Atmospheric, Crafting, Action, Inventory Management, Third Person, Open World, Futuristic, Combat, Realistic, Character Customization"
3224770,Umamusume: Pretty Derby,"24 Jun, 2025",0.0,0.0,"Anime, Horses, Free to Play, Gambling, Cute, Roguelite, Sports, Racing, Roguelike, Simulation, Management, Funny, Visual Novel, 3D, Great Soundtrack, Singleplayer, PvP, Story Rich, Dating Sim, Horror"
2592160,Dispatch,"22 Oct, 2025",29.99,29.99,"Choices Matter, Story Rich, Nudity, Sexual Content, Superhero, Singleplayer, Comedy, Choose Your Own Adventure, Strategy, Romance, Episodic, Action, Funny, Cinematic, Point & Click, Comic Book, Indie, Adventure, Soundtrack, Atmospheric"
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017",0.0,0.0,"Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth"
3405690,EA SPORTS FC 26,"25 Sep, 2025",69.99,69.99,"Football (Soccer), Sports, Simulation, Multiplayer, Singleplayer, Competitive, Controller, Realistic, Online Co-Op, Local Co-Op, Local Multiplayer, PvP, Family Friendly, eSports, Modern, Open World, Co-op, LGBTQ+, Horror"
1771300,Kingdom Come: Deliverance II,"4 Feb, 2025",35.99,59.99,"RPG, Medieval, Open World, Singleplayer, Realistic, First-Person, Story Rich, Adventure, Action, Combat, Historical, Swordplay, Political, Immersive, Choices Matter, Atmospheric, Alternate History, Action-Adventure, LGBTQ+, 3D"
1984270,Digimon Story Time Stranger,"2 Oct, 2025",69.99,69.99,"RPG, JRPG, Creature Collector, Party-Based RPG, Anime, Collectathon, 3D, Cute, Fantasy, Time Travel, Pixel Graphics, Emotional, Alternate History, Turn-Based Combat, Modern, Mythology, Character Customization, Singleplayer, Story Rich, Team-Based"
570,Dota 2,"9 Jul, 2013",0.0,0.0,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation"
