appid,game_title,review_index,review_content,page,helpful,language,has_links,has_keywords,has_contacts,link_count,keyword_count,contact_count
2807960,Battlefield 6,4,Posted: 9 November开服到现在全都是BUG，能玩的地图也就两三张，游戏是高压的肝度是超标的武器平衡是稀烂的优化是差劲的子弹是狂吞的外挂是不管的，我也搞不懂那啥比迫击炮能设计成无限子弹，...,1,0,chinese,否,是,否,0,1,0
2807960,Battlefield 6,18,Posted: 9 November开服到现在全都是BUG，能玩的地图也就两三张，游戏是高压的肝度是超标的武器平衡是稀烂的优化是差劲的子弹是狂吞的外挂是不管的，我也搞不懂那啥比迫击炮能设计成无限子弹，...,2,0,chinese,否,是,否,0,1,0
2807960,Battlefield 6,28,Posted: 9 November开服到现在全都是BUG，能玩的地图也就两三张，游戏是高压的肝度是超标的武器平衡是稀烂的优化是差劲的子弹是狂吞的外挂是不管的，我也搞不懂那啥比迫击炮能设计成无限子弹，...,3,0,chinese,否,是,否,0,1,0
2807960,Battlefield 6,34,Posted: 9 November开服到现在全都是BUG，能玩的地图也就两三张，游戏是高压的肝度是超标的武器平衡是稀烂的优化是差劲的子弹是狂吞的外挂是不管的，我也搞不懂那啥比迫击炮能设计成无限子弹，...,4,0,chinese,否,是,否,0,1,0
2807960,Battlefield 6,48,Posted: 9 November开服到现在全都是BUG，能玩的地图也就两三张，游戏是高压的肝度是超标的武器平衡是稀烂的优化是差劲的子弹是狂吞的外挂是不管的，我也搞不懂那啥比迫击炮能设计成无限子弹，...,5,0,chinese,否,是,否,0,1,0
3224770,Umamusume: Pretty Derby,9,Posted: 17 September很好的游戏，手游上玩了很久 脚本刷了半年结果国服暴毙惹，我们需要中文中文中文！！！！！待兼福来天仙下凡来的吧嗯嗯仙女下凡哇哦不错呦we need CHINESE,1,2,chinese,否,是,否,0,1,0
3224770,Umamusume: Pretty Derby,19,Posted: 17 September很好的游戏，手游上玩了很久 脚本刷了半年结果国服暴毙惹，我们需要中文中文中文！！！！！待兼福来天仙下凡来的吧嗯嗯仙女下凡哇哦不错呦we need CHINESE,2,2,chinese,否,是,否,0,1,0
3224770,Umamusume: Pretty Derby,29,Posted: 17 September很好的游戏，手游上玩了很久 脚本刷了半年结果国服暴毙惹，我们需要中文中文中文！！！！！待兼福来天仙下凡来的吧嗯嗯仙女下凡哇哦不错呦we need CHINESE,3,2,chinese,否,是,否,0,1,0
3224770,Umamusume: Pretty Derby,39,Posted: 17 September很好的游戏，手游上玩了很久 脚本刷了半年结果国服暴毙惹，我们需要中文中文中文！！！！！待兼福来天仙下凡来的吧嗯嗯仙女下凡哇哦不错呦we need CHINESE,4,2,chinese,否,是,否,0,1,0
3224770,Umamusume: Pretty Derby,49,Posted: 17 September很好的游戏，手游上玩了很久 脚本刷了半年结果国服暴毙惹，我们需要中文中文中文！！！！！待兼福来天仙下凡来的吧嗯嗯仙女下凡哇哦不错呦we need CHINESE,5,2,chinese,否,是,否,0,1,0
578080,PUBG: BATTLEGROUNDS,8,Posted: 9 NovemberProduct received for free外挂不封禁，天天检测绿玩24小时，活该你凉！,1,0,chinese,否,是,否,0,1,0
578080,PUBG: BATTLEGROUNDS,18,Posted: 9 NovemberProduct received for free外挂不封禁，天天检测绿玩24小时，活该你凉！,2,0,chinese,否,是,否,0,1,0
578080,PUBG: BATTLEGROUNDS,28,Posted: 9 NovemberProduct received for free外挂不封禁，天天检测绿玩24小时，活该你凉！,3,0,chinese,否,是,否,0,1,0
578080,PUBG: BATTLEGROUNDS,38,Posted: 9 NovemberProduct received for free外挂不封禁，天天检测绿玩24小时，活该你凉！,4,0,chinese,否,是,否,0,1,0
578080,PUBG: BATTLEGROUNDS,48,Posted: 9 NovemberProduct received for free外挂不封禁，天天检测绿玩24小时，活该你凉！,5,0,chinese,否,是,否,0,1,0
